"MCS0"	36.70713	22.93256147	-7.211255644	15.31812018	3.293817158	-2.152540081e-10	-6.167828899e-11
"MCO1"	36.70713	22.93256147	-7.211255644	15.31812018	3.293817158	-2.152540081e-10	-6.167828899e-11
"KMC"	36.85713	25.14794062	-7.55793873	14.34737976	3.177785641	-2.245057514e-10	-6.167828899e-11
"OQ1"	36.95713	26.68264057	-7.789060788	13.71955807	3.100431297	-2.306735803e-10	-6.167828899e-11
"HQFF"	36.95713	26.68264057	-7.789060788	13.71955807	3.100431297	-2.306735803e-10	-6.167828899e-11
"Q2W2"	37.54713	31.00892752	0.9048233418	12.52913651	-0.962318153	-2.45384004e-10	1.256789363e-11
"HQFF"	37.54713	31.00892752	0.9048233418	12.52913651	-0.962318153	-2.45384004e-10	1.256789363e-11
"OQ5"	37.96213	30.26802532	0.8804831678	13.35433607	-1.026114515	-2.401683282e-10	1.256789363e-11
"HQFF"	37.96213	30.26802532	0.8804831678	13.35433607	-1.026114515	-2.401683282e-10	1.256789363e-11
"Q3W2"	38.52213	24.81158111	8.33793144	16.9338418	-5.703149277	-2.143597437e-10	7.837347897e-11
"HQFF"	38.52213	24.81158111	8.33793144	16.9338418	-5.703149277	-2.143597437e-10	7.837347897e-11
"OQ1"	38.62213	23.17241748	8.053704891	18.09426982	-5.901130999	-2.065223958e-10	7.837347897e-11
"KMC"	38.77213	20.82025698	7.627365068	19.90915501	-6.198103583	-1.94766374e-10	7.837347897e-11
"KHV"	38.77213	20.82025698	7.627365068	19.90915501	-6.198103583	-1.94766374e-10	7.837347897e-11
"MCQ0"	38.77213	20.82025698	7.627365068	19.90915501	-6.198103583	-1.94766374e-10	7.837347897e-11
"MCS0"	38.77213	20.82025698	7.627365068	19.90915501	-6.198103583	-1.94766374e-10	7.837347897e-11
"MCO2"	38.77213	20.82025698	7.627365068	19.90915501	-6.198103583	-1.94766374e-10	7.837347897e-11
"KMC"	38.92213	18.59599844	7.201025245	21.81313197	-6.495076167	-1.830103521e-10	7.837347897e-11
"OQ1"	39.02213	17.18421604	6.916798696	23.13194538	-6.693057889	-1.751730042e-10	7.837347897e-11
"HQFF"	39.02213	17.18421604	6.916798696	23.13194538	-6.693057889	-1.751730042e-10	7.837347897e-11
"Q4W2"	39.69213	12.09565593	1.256349284	26.63604709	1.873784171	-1.413191159e-10	2.462858235e-11
"HQFF"	39.69213	12.09565593	1.256349284	26.63604709	1.873784171	-1.413191159e-10	2.462858235e-11
"OSW3"	44.25963	5.066039651	0.2827018989	13.05221572	1.10023474	-2.8828066e-11	2.462858235e-11
"ARF3W22"	46.19213	4.76948678	-0.1292463381	9.432290955	0.7729475425	1.876666939e-11	2.462858235e-11
"ARF3W22"	48.12463	6.065113844	-0.5411945751	7.077331212	0.4456603449	6.636140478e-11	2.462858235e-11
"OSW3O85"	52.60713	15.20007773	-1.496722633	6.484893464	-0.31349353	1.767590252e-10	2.462858235e-11
"HQFF"	52.60713	15.20007773	-1.496722633	6.484893464	-0.31349353	1.767590252e-10	2.462858235e-11
"Q5W2"	53.29713	13.58156384	3.646103767	8.817005644	-3.340053228	1.716877054e-10	-3.902438431e-11
"HQFF"	53.29713	13.58156384	3.646103767	8.817005644	-3.340053228	1.716877054e-10	-3.902438431e-11
"OQ1"	53.39713	12.8628677	3.540857619	9.498803232	-3.477922659	1.67785267e-10	-3.902438431e-11
"KMC"	53.54713	11.8242908	3.382988398	10.57320065	-3.684726807	1.619316094e-10	-3.902438431e-11
"KHV"	53.54713	11.8242908	3.382988398	10.57320065	-3.684726807	1.619316094e-10	-3.902438431e-11
"MCQ0"	53.54713	11.8242908	3.382988398	10.57320065	-3.684726807	1.619316094e-10	-3.902438431e-11
"MCS0"	53.54713	11.8242908	3.382988398	10.57320065	-3.684726807	1.619316094e-10	-3.902438431e-11
"MCO3"	53.54713	11.8242908	3.382988398	10.57320065	-3.684726807	1.619316094e-10	-3.902438431e-11
"KMC"	53.69713	10.83307466	3.225119178	11.70963932	-3.891530954	1.560779517e-10	-3.902438431e-11
"OQ6"	53.815	10.08740727	3.101065544	12.64618349	-4.054037653	1.514781475e-10	-3.902438431e-11
"HQFF"	53.815	10.08740727	3.101065544	12.64618349	-4.054037653	1.514781475e-10	-3.902438431e-11
"Q6W2"	54.6	8.4151842	-0.7486639327	14.87410782	1.524821373	1.440365734e-10	1.95628271e-11
"HQFF"	54.6	8.4151842	-0.7486639327	14.87410782	1.524821373	1.440365734e-10	1.95628271e-11
"O85"	54.685	8.54379686	-0.7644261906	14.61650332	1.505819775	1.456994137e-10	1.95628271e-11
"OQLBMD"	54.9	8.881072009	-0.804295431	13.97933434	1.457756909	1.499054215e-10	1.95628271e-11
